Timestamp,Email,Name,A-Number,Hoodie Size,Sweatpants Size,Polo Size,Rugby Shorts Size,T-Shirt Size
2021/09/21 4:18:51 PM CDT,example@gmail.com,Player 1,A1234567,XL,XL,XL,XL,XL
2021/09/21 4:19:22 PM CDT,example@gmail.com,Player 2,A1234567,M,M,M,M,M
2021/09/21 4:19:50 PM CDT,example@gmail.com,Player 3,A1234567,M,M,M,S,M
2021/09/21 4:19:53 PM CDT,example@gmail.com,Player 4,A1234567,M,M,M,L,M
2021/09/21 4:20:44 PM CDT,example@gmail.com,Player 5,A1234567,M,M,M,S,M
2021/09/21 4:20:58 PM CDT,example@gmail.com,Player 6,A1234567,M,S,S,M,S
2021/09/21 4:21:20 PM CDT,example@gmail.com,Player 7,A1234567,XXL,L,XL,XXL,XL
2021/09/21 4:22:41 PM CDT,example@gmail.com,Player 8,A1234567,M,M,M,M,M
2021/09/21 4:23:58 PM CDT,example@gmail.com,Player 9,A1234567,XL,XL,XL,XL,XL
2021/09/21 4:24:26 PM CDT,example@gmail.com,Player 10,A1234567,XXL,XL,XXL,XL,XXL
2021/09/21 4:26:05 PM CDT,example@gmail.com,Player 11,A1234567,XL,M,L,L,XL
2021/09/21 4:44:21 PM CDT,example@gmail.com,Player 12,A1234567,XL,XL,XL,XL,XL
2021/09/21 4:45:28 PM CDT,example@gmail.com,Player 13,A1234567,M,M,M,M,M
2021/09/21 4:55:37 PM CDT,example@gmail.com,Player 14,A1234567,L,L,L,M,L
2021/09/21 4:56:31 PM CDT,example@gmail.com,Player 15,A1234567,L,L,L,L,L
2021/09/21 4:56:40 PM CDT,example@gmail.com,Player 16,A1234567,M,M,M,M,M
2021/09/21 5:30:54 PM CDT,example@gmail.com,Player 17,A1234567,XL,L,XL,L,XL
2021/09/21 7:10:36 PM CDT,example@gmail.com,Player 18,A1234567,XL,XL,XL,L,XL
2021/09/21 7:15:15 PM CDT,example@gmail.com,Player 19,A1234567,XXXL,XL,XXL,XL,XXL
2021/09/21 9:07:47 PM CDT,example@gmail.com,Player 20,A1234567,L,L,L,L,L
2021/09/22 10:50:51 AM CDT,example@gmail.com,Player 21,A1234567,XXL,XL,XXL,XL,XXL
2021/09/22 10:55:53 AM CDT,example@gmail.com,Player 22,A1234567,M,M,M,M,M
2021/09/22 11:53:20 AM CDT,example@gmail.com,Player 23,A1234567,XL,Don't need any,L,L,XL
2021/09/22 12:18:38 PM CDT,example@gmail.com,Player 24,A1234567,XXXL,XXXL,XXL,XXXXXL,XXL
2021/09/22 6:02:59 PM CDT,example@gmail.com,Player 25,A1234567,L,M,L,M,L
2021/09/22 11:17:11 PM CDT,example@gmail.com,Player 26,A1234567,L,L,L,L,L
2021/09/23 9:28:05 AM CDT,example@gmail.com,Player 27,A1234567,L,M,L,M,L
2021/09/23 12:05:44 PM CDT,example@gmail.com,Player 28,A1234567,L,M,L,M,L
2021/09/23 1:41:05 PM CDT,example@gmail.com,Player 29,A1234567,XL,M,L,M,L
2021/09/23 2:03:23 PM CDT,example@gmail.com,Player 30,A1234567,M,M,M,M,M
2021/09/23 2:57:01 PM CDT,example@gmail.com,Player 31,A1234567,XL,XL,XL,XL,XL
2021/09/23 2:58:21 PM CDT,example@gmail.com,Player 32,A1234567,L,L,L,M,L
2021/09/23 2:59:02 PM CDT,example@gmail.com,Player 1,A1234567,M,M,M,M,M
2021/09/23 3:00:50 PM CDT,example@gmail.com,Player 2,A1234567,L,L,L,M,L
2021/09/23 3:01:04 PM CDT,example@gmail.com,Player 3,A1234567,XXL,XL,XL,XXL,XXL
2021/09/23 3:16:07 PM CDT,example@gmail.com,Player 4,A1234567,XXL,L,XXL,L,XXL
2021/09/23 4:31:13 PM CDT,example@gmail.com,Player 5,A1234567,XL,XL,XL,XL,XL
2021/09/23 7:14:38 PM CDT,example@gmail.com,Player 6,A1234567,XL,XL,XL,L,XL
2021/09/23 7:37:19 PM CDT,example@gmail.com,Player 7,A1234567,M,M,Women’s medium ,M,Women’s medium 
2021/09/24 9:57:14 AM CDT,example@gmail.com,Player 8,A1234567,M,M,M,M,M
2021/09/24 6:55:04 PM CDT,example@gmail.com,Player 9,A1234567,L,M,M,M,L
